trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
"10,True,""{'a': 0, 'e': 0}"",25,7,32.985851119027714,""{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"11,True,""{'a': 0, 'e': 0}"",25,10,28.878855266436013,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"12,True,""{'a': 0, 'e': 0}"",20,2,26.022525783102186,""{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"13,True,""{'a': 0, 'e': 0}"",20,12,14.29397638266451,""{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"14,True,""{'a': 0, 'e': 0}"",20,5,23.280692612252647,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"15,True,""{'a': 0, 'e': 0}"",25,20,10.977548555059053,""{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"16,True,""{'a': 0, 'e': 0}"",25,18,11.363200191444541,""{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"17,True,""{'a': 0, 'e': 0}"",20,14,8.378227378509717,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"18,True,""{'a': 0, 'e': 0}"",25,11,28.45740612515327,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"19,True,""{'a': 0, 'e': 0}"",25,11,25.61904253610909,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"20,True,""{'a': 0, 'e': 0}"",30,11,31.741103477876063,""{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"21,True,""{'a': 0, 'e': 0}"",30,14,27.8444258612546,""{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"22,True,""{'a': 0, 'e': 0}"",25,15,16.418199264223162,""{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"23,True,""{'a': 0, 'e': 0}"",20,11,15.35754567389433,""{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"24,True,""{'a': 0, 'e': 0}"",20,3,28.583196999414845,""{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"25,True,""{'a': 0, 'e': 0}"",20,0,26.998025123896205,""{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}"",0"
"26,True,""{'a': 0, 'e': 0}"",30,16,28.233860771103465,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"27,True,""{'a': 0, 'e': 0}"",20,6,18.83320358996825,""{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"28,True,""{'a': 0, 'e': 0}"",25,12,26.21762535662904,""{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"29,True,""{'a': 0, 'e': 0}"",30,8,41.95530509317713,""{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"30,True,""{'a': 0, 'e': 0}"",25,18,14.139511755956082,""{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"31,True,""{'a': 0, 'e': 0}"",20,14,14.846030570259568,""{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
"32,True,""{'a': 0, 'e': 0}"",20,5,23.720806265107726,""{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}"",1"
